data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000020,COMPLETED,2014,Melbourne (CBD),15,River View House 274-282 Flinders Street MELBOURNE VIC 3000,103328,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,144.9650858,-37.81765999,"{'lon': 144.9650858, 'lat': -37.81765999}"
Pre May 16,X000029,COMPLETED,2005,Melbourne (CBD),17,11-37 Exhibition Street MELBOURNE VIC 3000,103592,,,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23255,0,0,0,0,0,0,0,0,0,0,0,144.9717264,-37.81546126,"{'lon': 144.9717264, 'lat': -37.81546126}"
Pre May 16,X000544,COMPLETED,2006,North Melbourne,377,47-59 Flemington Road NORTH MELBOURNE VIC 3051,103814,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,41,0,0,0,0,0,0,0,0,0,0,144.9543181,-37.79972957,"{'lon': 144.9543181, 'lat': -37.79972957}"
Pre May 16,X000555,COMPLETED,2011,North Melbourne,378,George Apartments 97-103 Flemington Road NORTH MELBOURNE VIC 3051,103824,,,,,8,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9527049,-37.79844294,"{'lon': 144.9527049, 'lat': -37.79844294}"
Pre May 16,X000988,COMPLETED,2014,Parkville,931,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,103908,,,,,5,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,9487,0,0,0,860,0,0,144.9495408,-37.79361764,"{'lon': 144.9495408, 'lat': -37.79361764}"
Pre May 16,X000989,COMPLETED,2011,Parkville,931,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,103908,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,100000,0,0,0,0,500,0,144.9495408,-37.79361764,"{'lon': 144.9495408, 'lat': -37.79361764}"
Pre May 16,X000061,COMPLETED,2014,Melbourne (CBD),27,41-43 Exhibition Street MELBOURNE VIC 3000,103968,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,200,0,0,0,0,0,0,0,0,0,0,144.9715755,-37.81501688,"{'lon': 144.9715755, 'lat': -37.81501688}"
Pre May 16,X000011,COMPLETED,2006,Melbourne (CBD),11,550-554 Flinders Street MELBOURNE VIC 3000,103987,,,,,30,176,0,0,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9559669,-37.82038867,"{'lon': 144.9559669, 'lat': -37.82038867}"
Pre May 16,X000009,COMPLETED,2013,Melbourne (CBD),11,532-536 Flinders Street MELBOURNE VIC 3000,103989,,,,,26,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,83,0,144.9564353,-37.82024208,"{'lon': 144.9564353, 'lat': -37.82024208}"
Pre May 16,X000017,COMPLETED,2008,Melbourne (CBD),14,Q2 Tower 2-8 Queen Street MELBOURNE VIC 3000,104003,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,400,0,0,0,0,0,0,0,0,0,0,144.9627104,-37.81858764,"{'lon': 144.9627104, 'lat': -37.81858764}"
