census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_food_services
2014,Melbourne (CBD),1880,890,325,5,107,64,193,35,520,261,71,113,39,499,1196,77,128,751,64,73,5411,5999.0,1300
2014,Melbourne (Remainder),75,48,23,0,38,8,14,0,40,70,11,13,1,33,77,7,11,19,9,9,431,0.0,19
2014,North Melbourne,150,158,44,1,60,48,36,27,30,116,31,81,0,169,186,18,28,119,39,77,1268,204.0,0
2014,Parkville,65,66,3,0,39,0,19,5,3,77,0,1,0,19,9,2,1,19,4,0,267,350.0,0
2014,Port Melbourne,31,11,13,0,7,49,6,7,12,5,15,66,0,8,64,8,13,17,34,73,408,0.0,12
2014,South Yarra,17,9,1,0,3,0,6,2,0,0,1,0,0,8,0,1,0,5,0,0,36,0.0,3
2014,Southbank,224,198,24,3,53,33,18,21,29,24,23,11,4,49,137,11,37,243,15,25,958,818.0,93
2014,West Melbourne (Industrial),11,9,0,1,10,3,0,12,1,0,5,7,0,7,3,2,11,8,57,197,333,0.0,0
2014,West Melbourne (Residential),90,54,11,0,17,10,19,7,15,18,12,15,0,50,92,7,6,38,20,32,423,632.0,12
2015,Carlton,363,347,33,2,48,18,110,15,56,142,18,39,0,177,180,21,32,174,4,29,1445,644.0,0
2015,Docklands,308,233,35,0,43,21,13,9,34,21,21,22,2,78,129,11,52,234,40,25,1023,874.0,66
2015,East Melbourne,80,88,21,0,58,8,14,10,15,339,8,6,1,65,96,26,11,17,3,5,791,0.0,0
2015,Kensington,67,64,16,4,137,38,12,13,5,26,15,67,0,51,51,9,16,57,21,51,653,0.0,0
2015,Melbourne (CBD),1934,2190,603,8,223,118,390,85,902,608,184,402,61,1200,2527,181,293,1913,122,159,12169,4418.0,301
2015,Melbourne (Remainder),88,67,26,0,48,13,13,4,39,71,7,8,0,39,79,8,11,22,9,8,472,0.0,0
2015,North Melbourne,150,121,39,1,53,42,33,23,21,101,23,63,0,137,144,15,22,95,31,67,1031,373.0,8
2015,Parkville,65,99,7,0,44,1,13,6,10,76,1,2,0,24,16,4,2,28,6,0,339,58.0,0
2015,Port Melbourne,32,23,28,1,12,77,13,7,11,7,23,124,0,22,108,14,21,29,57,115,692,0.0,12
2015,South Yarra,18,12,1,0,5,0,14,5,0,1,1,0,0,9,0,1,0,5,0,0,54,0.0,7
2015,Southbank,241,291,28,4,67,44,20,31,36,34,21,16,6,55,164,12,42,258,17,25,1171,2491.0,0
2015,West Melbourne (Industrial),11,9,0,1,12,3,0,13,1,0,5,10,0,8,6,3,11,8,58,202,350,0.0,0
2015,West Melbourne (Residential),90,66,14,0,20,11,24,9,14,21,15,20,1,65,116,5,8,46,22,42,519,102.0,0
2016,Carlton,399,132,15,0,28,8,52,8,17,56,9,7,0,71,67,10,10,64,3,11,568,88.0,159
2016,Docklands,347,299,43,1,50,27,19,13,57,38,37,18,3,83,169,18,71,224,58,32,1260,1350.0,0
2016,East Melbourne,84,76,13,0,44,6,13,6,14,242,9,5,0,52,74,21,9,12,2,4,602,0.0,0
2016,Kensington,67,44,10,2,80,21,7,8,4,18,12,45,0,41,39,5,13,40,19,25,433,30.0,0
2016,Melbourne (CBD),1962,2491,702,10,264,139,470,88,1114,615,183,424,66,1490,2911,230,347,2278,133,206,14161,3372.0,0
2016,Melbourne (Remainder),88,64,36,0,49,19,13,4,59,125,10,10,0,45,106,11,17,20,12,10,610,72.0,0
2016,North Melbourne,161,129,32,1,33,41,38,19,19,61,17,57,0,126,122,11,18,82,36,61,903,1931.0,0
2016,Parkville,73,93,5,0,43,0,71,5,6,150,1,3,0,41,22,3,3,27,6,1,480,250.0,0
2016,Port Melbourne,32,35,39,2,21,91,11,7,16,10,26,163,0,30,136,19,27,38,70,124,865,0.0,0
2016,South Yarra,18,19,1,0,5,0,19,7,0,1,2,0,0,11,0,2,0,10,0,0,77,0.0,0
2016,Southbank,241,257,32,4,64,37,19,28,35,37,23,14,5,57,153,10,36,250,22,24,1107,1818.0,0
2016,West Melbourne (Industrial),6,7,0,0,13,5,0,12,0,0,3,11,0,11,4,2,2,10,66,35,181,0.0,0
2016,West Melbourne (Residential),82,47,13,0,13,7,16,10,12,19,7,12,0,42,72,2,10,36,15,23,356,382.0,0
2017,Carlton,399,291,28,1,44,17,97,14,31,109,19,23,0,134,143,16,21,133,4,18,1143,1714.0,63
2017,Docklands,347,268,38,1,47,24,18,13,48,32,29,15,2,79,151,14,65,220,47,26,1137,4380.0,8
2017,East Melbourne,84,47,8,0,16,4,11,3,7,181,9,3,0,28,43,15,2,5,2,3,387,0.0,0
2017,Kensington,68,34,12,2,70,14,10,8,3,21,5,36,0,35,35,5,13,28,16,16,363,0.0,5
